FID_EXT,Districts,RX1,CWD,Both
260,Hassan,0,0,0
261,Haveri,0,0,0
262,Kodagu,0.053139625,0.053139625,0.053139625
263,Kolar,0,0,0
264,Koppal,0,0,0
265,Mandya,0,0.4539702,0.2269851
266,Mysore,0,0.664922635,0.332461318
267,Raichur,0,0,0
268,Ramanagara,0,0.431066278,0.215533139
269,Shimoga,0.107763483,0.215526965,0.161645224
270,Tumkur,0,0,0
271,Udupi,1.347910519,1.347910519,1.347910519
272,Uttara Kannada,0.052832242,0.07044299,0.061637616
273,Yadgir,0,0,0
274,Alappuzha,1.157001828,2.314003656,1.735502742
275,Ernakulam,2.514985092,2.514985092,2.514985092
276,Idukki,0.126464514,0.252929028,0.189696771
277,Kannur,3.239059574,3.239059574,3.239059574
278,Kasaragod,0,3.538873662,1.769436831
279,Kollam,1.924375388,1.924375388,1.924375388
280,Kottayam,0,3.742435572,1.871217786
281,Kozhikode,3.879636933,3.879636933,3.879636933
282,Malappuram,3.1379516,3.1379516,3.1379516
283,Palakkad,0,2.938203323,1.469101661
284,Pathanamthitta,0.354162954,1.416651816,0.885407385
285,Thiruvananthapuram,0,2.449476747,1.224738373
286,Thrissur,1.344328236,2.688656472,2.016492354
287,Wayanad,0.28151599,0.56303198,0.422273985
288,Lakshadweep,0,0,0
289,Agar Malwa,0,0,0
290,Alirajpur,0.224401498,0.224401498,0.224401498
291,Anuppur,0.136845911,0.410537732,0.273691821
292,Ashoknagar,0.083457393,0.166914785,0.125186089
293,Balaghat,0.067337877,0.101006815,0.084172346
294,Barwani,0.474163976,0.474163976,0.474163976
295,Betul,0,0,0
296,Bhind,0,0.829242799,0.4146214
297,Bhopal,1.633094821,1.633094821,1.633094821
298,Burhanpur,1.153727789,1.153727789,1.153727789
299,Chhatarpur,0,0.262790305,0.131395153
300,Chhindwara,0,0.305691774,0.152845887
301,Damoh,0.214854177,0.214854177,0.214854177
302,Datia,0.220174399,0.440348798,0.330261599
303,Dewas,0.3269114,0.6538228,0.4903671
304,Dhar,0,0.728496444,0.364248222
305,Dindori,0,0.458977879,0.22948894
306,East Nimar,0.373447793,0.373447793,0.373447793
307,Guna,0,0,0
308,Gwalior,0,1.105888145,0.552944073
309,Harda,0,0,0
310,Hoshangabad,0.124697803,0.124697803,0.124697803
311,Indore,0,0.592955245,0.296477623
312,Jabalpur,0.446026117,0.892052234,0.669039176
313,Jhabua,1.635035688,1.635035688,1.635035688
314,Katni,0.197779064,0.296668596,0.24722383
315,Mandla,0,0.021129584,0.010564792
316,Mandsaur,0,0.032245306,0.016122653
317,Morena,0,1.065573612,0.532786806
318,Narsimhapur,0,0,0
319,Neemuch,0.189312386,0.189312386,0.189312386
320,Panna,0.014398035,0.02879607,0.021597053
321,Raisen,0.166021143,0.166021143,0.166021143
322,Rajgarh,0,0,0
323,Ratlam,0.58397052,0.58397052,0.58397052
324,Rewa,1.448379526,1.448379526,1.448379526
325,Sagar,0.27450572,0.41175858,0.34313215
326,Satna,0.319897207,0.47984581,0.399871508
327,Sehore,0.356511014,0.356511014,0.356511014
328,Seoni,0.012663727,0.037991182,0.025327455
329,Shahdol,0,0,0
330,Shajapur,0.60858728,0.60858728,0.60858728
331,Sheopur,0.012933804,0.038801413,0.025867609
332,Shivpuri,0.01382035,0.041461051,0.027640701
333,Sidhi,0.23368595,0.701057851,0.467371901
334,Singrauli,0.318812222,0.637624444,0.478218333
335,Tikamgarh,0,0.533104993,0.266552497
336,Ujjain,0.750947791,0.375473895,0.563210843
337,Umaria,0.012780807,0.025561613,0.01917121
338,Vidisha,0.17387751,0.260816265,0.217346887
339,West Nimar,0.12787121,0.38361363,0.25574242
340,Ahmadnagar,0.089212491,0.267637472,0.178424982
341,Akola,0,0.699594978,0.349797489
342,Amravati,0.165432704,0.496298111,0.330865407
343,Aurangabad,0,0.379022404,0.189511202
344,Bhandara,0.017468637,0.017468637,0.017468637
345,Bid,0.416064059,0.624096088,0.520080073
346,Buldana,0.057874035,0.231496139,0.144685087
347,Chandrapur,0,0,0
348,Dhule,0,0.451670522,0.225835261
349,Garhchiroli,0,0,0
350,Gondiya,0.532387069,0.532387069,0.532387069
351,Hingoli,0.04216134,0.04216134,0.04216134
352,Jalgaon,0,0.416223798,0.208111899
353,Jalna,0,0.300516259,0.15025813
354,Kolhapur,0,1.114306123,0.557153062
355,Latur,0,0.963238535,0.481619268
356,Mumbai City,0,0,0
357,Mumbai Suburban,0.651865859,0.651865859,0.651865859
358,Nagpur,0.11067394,0.221347881,0.166010911
359,Nanded,0.133182988,0.399548964,0.266365976
360,Nandurbar,0,0.535585082,0.267792541
361,Nashik,0.252776882,0.505553765,0.379165324
362,Osmanabad,0,0.452666434,0.226333217
363,Palghar,0.723485517,0.723485517,0.723485517
364,Parbhani,0.338704915,0.338704915,0.338704915
365,Pune,0.18113027,0.301883783,0.241507026
366,Raigarh,0.715794643,0.715794643,0.715794643
367,Ratnagiri,0.183884067,0.183884067,0.183884067
368,Sangli,0,0.406602449,0.203301224
369,Satara,0,0.656048998,0.328024499
370,Sindhudurg,0.024170312,0.012085156,0.018127734
371,Solapur,0,0.082575903,0.041287952
372,Thane,1.047209105,1.047209105,1.047209105
373,Wardha,0.175373463,0.350746926,0.263060194
374,Washim,0,0,0
375,Yavatmal,0,0,0
376,Bishnupur,0,3.024171604,1.512085802
377,Chandel,0,0.016500291,0.008250146
378,Churachandpur,0,0.053284159,0.026642079
379,Imphal East,0.103941047,0.415764189,0.259852618
380,Imphal West,0,1.964993219,0.98249661
381,Senapati,0,0.013020181,0.006510091
382,Tamenglong,0,0,0
383,Thoubal,0,2.053532423,1.026766211
384,Ukhrul,0,0,0
385,East Garo Hills,0,0,0
386,East Khasi Hills,0.37412704,0.37412704,0.37412704
387,Jaintia Hills,0,0.066278387,0.033139193
388,North Garo Hills,0.161269032,0.161269032,0.161269032
389,Ri Bhoi,0,0.139334641,0.06966732
390,South Garo Hills,0.016229892,0.016229892,0.016229892
391,South West Garo Hills,0.208100084,0.208100084,0.208100084
392,South West Khasi Hills,0.017522523,0.017522523,0.017522523
393,West Garo Hills,0.409781202,0.409781202,0.409781202
394,West Khasi Hills,0,0,0
395,Aizawl,0,0.918568462,0.459284231
396,Champhai,0,0,0
397,Kolasib,0,0.089014668,0.044507334
398,Lawangtlai,0,0,0
399,Lunglei,0,0,0
400,Mamit,0.022114405,0.044228809,0.033171607
401,Saiha,0,0,0
402,Serchhip,0,0,0
403,Dimapur,0,0.629324757,0.314662379
404,Kiphire,0,0,0
405,Kohima,0,0.148657868,0.074328934
406,Longleng,0,0,0
407,Mokokchung,0,0.027874916,0.013937458
408,Mon,0,0.046364986,0.023182493
409,Peren,0,0,0
410,Phek,0,0,0
411,Tuensang,0,0.120382475,0.060191237
412,Wokha,0,0.147624109,0.073812054
413,Zunheboto,0,0,0
414,West,0.275408529,0.826225588,0.550817058
415,Anugul,0.218674954,0.437349908,0.328012431
416,Balangir,0.264523798,0.264523798,0.264523798
417,Baleshwar,3.999639121,3.999639121,3.999639121
418,Bargarh,0.205652785,0.205652785,0.205652785
419,Bauda,0,0,0
420,Bhadrak,4.005599714,4.005599714,4.005599714
421,Cuttack,1.243310977,1.864966466,1.554138722
422,Debagarh,0,0,0
423,Dhenkanal,0,0.457068125,0.228534062
424,Gajapati,0.161244121,0.322488242,0.241866182
425,Ganjam,0.726745821,2.180237464,1.453491643
426,Jagatsinghapur,1.6901095,2.53516425,2.112636875
427,Jajapur,1.521427995,1.521427995,1.521427995
428,Jharsuguda,0.28173965,0.352174562,0.316957106
429,Kalahandi,0.07000013,0.07000013,0.07000013
430,Kandhamal,0.0317441,0.0317441,0.0317441
431,Kendrapara,4.755065259,4.755065259,4.755065259
432,Kendujhar,0.114076705,0.342230116,0.22815341
433,Khordha,0,1.68688523,0.843442615
434,Koraput,0.298403897,0.298403897,0.298403897
435,Malkangiri,0,0,0
436,Mayurbhanj,1.121439856,1.121439856,1.121439856
437,Nabarangapur,0.082182984,0.164365967,0.123274475
438,Nayagarh,0,1.079259468,0.539629734
439,Nuapada,0.103338565,0.103338565,0.103338565
440,Puri,0,6.851220875,3.425610437
441,Rayagada,0,0,0
442,Sambalpur,0.087983597,0.087983597,0.087983597
443,Subarnapur,0.216736934,0.216736934,0.216736934
444,Sundargarh,0,0.112039101,0.05601955
445,Karaikal,0.895003675,0.895003675,0.895003675
446,Mahe,1.758064518,1.758064518,1.758064518
447,Puducherry,0.714285714,0,0.357142857
448,Yanam,0.889339187,0.444669594,0.66700439
449,Amritsar,0,0.220491193,0.110245596
450,Barnala,0,0,0
451,Bathinda,0,0,0
452,Faridkot,0,0,0
453,Fatehgarh Sahib,0.226827553,0.226827553,0.226827553
454,Fazilka,0,0,0
455,Firozpur,0,0,0
456,Gurdaspur,0,1.080362522,0.540181261
457,Hoshiarpur,4.164936066,4.164936066,4.164936066
458,Jalandhar,0,0,0
459,Kapurthala,0,0,0
460,Ludhiana,0.209257908,0.209257908,0.209257908
461,Mansa,0,0,0
462,Moga,0,0,0
463,Muktsar,0,0,0
464,Pathankot,0,0.917541431,0.458770715
465,Patiala,0,0,0
466,Rupnagar,0,1.24361246,0.62180623
467,Sahibzada Ajit Singh Nagar,0,0.989714781,0.49485739
468,Sangrur,0,0,0
469,Shahid Bhagat Singh Nagar,1.233067625,1.233067625,1.233067625
470,Tarn Taran,0,0.772523519,0.38626176
471,Ajmer,0,0.117745021,0.058872511
472,Alwar,0,0,0
473,Banswara,2.039580865,2.039580865,2.039580865
474,Baran,0.138600657,0.138600657,0.138600657
475,Barmer,0.00015029,0,7.51E-05
476,Bharatpur,0,0,0
477,Bhilwara,0,0,0
478,Bikaner,0,0,0
479,Bundi,0.019960194,0.019960194,0.019960194
480,Chittaurgarh,0.127526517,0.170035355,0.148780936
481,Churu,0,0,0
482,Dausa,0,0.517417527,0.258708763
483,Dhaulpur,0,1.160831543,0.580415772
484,Dungarpur,1.568282495,0,0.784141247
485,Ganganagar,0,0,0
486,Hanumangarh,0,0,0
487,Jaipur,0.133337332,0.533349328,0.33334333
488,Jaisalmer,0,0,0
489,Jalor,0,0,0
490,Jhalawar,0,0,0
491,Jhunjhunun,0,0,0
492,Jodhpur,0,0,0
493,Karauli,0,0.591180479,0.29559024
494,Kota,0.328972429,0.657944858,0.493458644
495,Nagaur,0.002555415,0.000851805,0.00170361
496,Pali,0.015422667,0.007711333,0.011567
497,Pratapgarh,0.326051108,0.326051108,0.326051108
498,Rajsamand,0,0.162373176,0.081186588
499,Sawai Madhopur,0.427865843,0,0.213932921
500,Sikar,0.160506281,0,0.080253141
501,Sirohi,0.320194241,0.320194241,0.320194241
502,Tonk,0,0.0740988,0.0370494
503,Udaipur,0.187093078,0.74837231,0.467732694
504,East Sikkim,0,0,0
505,North Sikkim,0,0,0
506,South Sikkim,0,0,0
507,West Sikkim,0,0,0
508,Ariyalur,0,0.068698569,0.034349285
509,Chennai,0.504182691,0,0.252091345
510,Coimbatore,0,1.321023964,0.660511982
511,Cuddalore,1.953975218,0.976987609,1.465481414
512,Dharmapuri,0,0.546679127,0.273339564
513,Dindigul,0,0,0
514,Erode,0,0.608654057,0.304327028
515,Kancheepuram,1.117569057,0.558784528,0.838176793
516,Kanniyakumari,0,0.676739625,0.338369813
517,Karur,0,0.900577092,0.450288546
518,Krishnagiri,0,0,0
519,Madurai,0,0,0
520,Nagappattinam,1.206509984,0.804339989,1.005424987
521,Namakkal,0,0,0
522,Perambalur,0.048459402,0.145378207,0.096918805
523,Pudukkottai,0,0.457988856,0.228994428
524,Ramanathapuram,0,0.388050421,0.19402521
525,Salem,0,1.376807731,0.688403865
526,Sivaganga,0,0,0
527,Thanjavur,2.127093117,2.127093117,2.127093117
528,The Nilgiris,0,0.235271153,0.117635577
529,Theni,0,1.823336186,0.911668093
530,Thiruvallur,0.395502561,0.263668374,0.329585468
531,Thiruvarur,2.321533183,2.321533183,2.321533183
532,Thoothukkudi,0,0.322648194,0.161324097
533,Tiruchirappalli,0,0,0
534,Tirunelveli,0,0,0
535,Tiruppur,0,0.693026635,0.346513317
536,Tiruvannamalai,0.382567505,0.382567505,0.382567505
537,Vellore,0.605033495,0.605033495,0.605033495
538,Viluppuram,0.799466187,0,0.399733093
539,Virudunagar,0,0.503044416,0.251522208
540,Adilabad,0.105257011,0.157885516,0.131571264
541,Hyderabad,0,0,0
542,Karimnagar,0.236239187,0.472478373,0.35435878
543,Khammam,0.22201752,0.22201752,0.22201752
544,Mahbubnagar,0.018200769,0.091003844,0.054602306
545,Medak,0,0.328537881,0.164268941
546,Nalgonda,0.045280443,0.045280443,0.045280443
547,Nizamabad,0.27533742,0.550674839,0.413006129
548,Ranga Reddy,0,0,0
549,Warangal,0.100872911,0.403491642,0.252182276
550,Dhalai,0.120419235,0.120419235,0.120419235
551,Gomati,1.005180958,1.005180958,1.005180958
552,Khowai,0.261916882,0.261916882,0.261916882
553,North Tripura,0.811052535,1.351754226,1.081403381
